file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0007_50869_to_55088,ཨེ་ནས་གྲོགས་པོ། གྲོགས་པོ། བདག་པོ་མི་འདུག་གེ། ག་རེ་བྱེད་ཀི་ཡོད་བྱས།  ,e nas grogs po/_grogs po/_bdag po mi 'dug ge/_ga re byed ki yod byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0007_50869_to_55088.wav,STT_CS,3,68,4.219,wav16k/STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0007_50869_to_55088.wav,ཨེ་ནས་གྲོགས་པོ་་བྱད་ཡ་ཡིན་པ། གྲོགས་པོ། གདོག་པོ་ཡིན་པེ་ག་རེ་བྱེད་ཀྱི་ཡོད།
STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0006_44069_to_48659,མ་རེད་སྐད་ཆ་བཤད་བསྡད་ཡ་རེད། དེའི་ནང་ལོག་ལ་རེ་ཁོརཌྀ་ཅིག་ཡོད་རཱ། དེ་བསྡད་བསྡད་རེད། དེའི་ནང་འཛུལ་གི་རེད།  ,ma red skad cha bshad bsdad ya red/_de'i nang log la re khoraD-i cig yod rA/_de bsdad bsdad red/_de'i nang 'dzul gi red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0006_44069_to_48659.wav,STT_CS,3,103,4.59,wav16k/STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0006_44069_to_48659.wav,མ་རེད་ སྐད་ཆ་བཤད་བསྡད་ཡ་རེད། འདིའི་ནང་ལོག་ར་ྒྱུ་ཅིག་ཡོད་རཱ། ང་ཚོ་སྐད་ཆ་འདིའི་ནང་ལ་འཛུལ་ྒྱི་རེད།
STT_TT00106_09887.050-09889.550,ལོངས་སྤྱོད་ཇི་སྙེད་ཡོད་པ་ཐམས་ཅད་ཀྱང་བློས་བླངས་ནས་ ,longs spyod ji snyed yod pa thams cad kyang blos blangs nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00106_09887.050-09889.550.wav,STT_TT,3,50,2.5,wav16k/STT_TT00106_09887.050-09889.550.wav,ལོངས་སྤྱོད་ཇི་སྙེད་ཡོད་པ་ཐམས་ཅད་ཀྱང་བློས་བླངས་ནས་
STT_TT00106_10347.300-10352.050,ཨེ། དགེ་འབྲས་ལན་ཅིག་སྨིན་ནས། ཟད་པར་འགྱུར་པ། མཐར་ཐུག་བྱང་ཆུབ་ཐོབ་པའི་རྒྱུར་བསྔོས་ན། དགེ་འབྲས་ ,e/_dge 'bras lan cig smin nas/_zad par 'gyur pa/_mthar thug byang chub thob pa'i rgyur bsngos na/_dge 'bras _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00106_10347.300-10352.050.wav,STT_TT,3,93,4.75,wav16k/STT_TT00106_10347.300-10352.050.wav,ཨེ། དྒེ་འབྲས་ལན་ཅིག་སྨིན་ནས་ཟད་པར་འགྱུར་ལ། མཐར་ཐུག་བྱང་ཆུབ་ཐོབ་པའི་རྒྱུར་བསྔོན་ན། དྒེ་འབྲས་
STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0046_551804_to_554925,ག་རེ་བྱེད་ཀི་ཡོད་གྲོགས་པོ། ངས་ཀི་གྲོགས་པོ། ཧ་ལོ། ཧ་ལོ།  ,ga re byed ki yod grogs po/_ngas ki grogs po/_ha lo/_ha lo/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0046_551804_to_554925.wav,STT_CS,3,56,3.121,wav16k/STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0046_551804_to_554925.wav,ག་རེ་བྱེད་ཀྱི་ཡོད་ བདག་པོ། ངའི་ཅི་གྲོགས་པོ་བདག་ལལ།
STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0005_41149_to_43562,འདི་ན།  ,'di na/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0005_41149_to_43562.wav,STT_CS,3,8,2.413,wav16k/STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0005_41149_to_43562.wav,འདིའི་ནང་།
STT_CS-L-2016_2016-P_P-D_D-B02_B02-2_2-R_R-01_0150_1475710_to_1479642,ཨེ་ནས་ལྷ་དབང་རང་དཔེ་མཛོད་རྒན་ལགས་དགའ་བོ་ཡོད་བེ། ཁྱོད་ཕི་ཋི་རྒན་ལགས་དགའ་བོ་ཡོད།  ,e nas lha dbang rang dpe mdzod rgan lags dga' bo yod be/_khyod phi Thi rgan lags dga' bo yod/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2016_2016-P_P-D_D-B02_B02-2_2-R_R-01_0150_1475710_to_1479642.wav,STT_CS,3,80,3.932,wav16k/STT_CS-L-2016_2016-P_P-D_D-B02_B02-2_2-R_R-01_0150_1475710_to_1479642.wav,ཨེ་ནས་ཁོ་ང་གང་དཔེ་མཛིན་རྒན་ལགས་དགའ་བོ་ཡོད་བེ། ཀི་ཕི་ཋི་རྒན་ལགས་དགའ་བོ་ཡོདབེ།
STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0048_567227_to_572509,བཟང་མོ། ག་རེ། ང་ཚོའི་སྐད་ཆ་བཤད་དགོ། རྒན་ལགས་ཀིས། ནང་ཆོས་རྒན་ལགས་གིས་སྐད་གཏོང་གི་འདུག ,bzang mo/_ga re/_nga tsho'i skad cha bshad dgo/_rgan lags kis/_nang chos rgan lags gis skad gtong gi 'dug_,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0048_567227_to_572509.wav,STT_CS,3,85,5.282,wav16k/STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-03_0048_567227_to_572509.wav,ང་ག་རེ། ང་ཚོ་སྐད་ཆ་ིན་བཤད་དགོསི་རྒན་ལགས་ཀྱིས། དི། ང་ཚོ་རྒན་ལགས་སྐད་བཏང་དགོདེ།
STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-02_0050_451937_to_463058,ཐཱནཁྀ་ཡོའུ། འདི་མཱཡེཁྀ། ཨ་ནས། མགྱོགས་སི་འགྲོ་དང་། ག་རེ་རེད། དུས་ཚོད་རྫོགས་ཚར་རེད།  ,thAnakh-i yo'u/_'di mAyekh-i/_a nas/_mgyogs si 'gro dang /_ga re red/_dus tshod rdzogs tshar red/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-02_0050_451937_to_463058.wav,STT_CS,3,83,11.121,wav16k/STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-02_0050_451937_to_463058.wav,ང་ཆུང།དཡེ།ཨ་ནས།མགྱོགས་སི་འྒྲོག་དང་ག་རེ་རེད། དུས་ཚོད་རྫོགས་ས་རེད།
STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-02_0051_463902_to_468846,ཨ་ནས་མདང་དགོང་ཁྱོད། ཞོགས། དེ་རིང་ཞོགས་ཀའི་ཁ་ལག་ག་རེ་བཟའ་ཡིན།  ,a nas mdang dgong khyod/_zhogs/_de ring zhogs ka'i kha lag ga re bza' yin/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-02_0051_463902_to_468846.wav,STT_CS,3,62,4.944,wav16k/STT_CS-L-2017_2017-P_P-D_D-B01_B01-1_1-R_R-02_0051_463902_to_468846.wav,ཨ་ནས་མདང་དགོང་ཁྱོད་ོ དེ་རིང་ཟོགས་ཀས་ཁ་ལག་ག་རེ་ཟ་ཡིན།
